RefID,VegID,CAS,LDfrac,J-rating,Veg Description,ClassIDPlus,Comments,Comments2
Guenther2019b,39869,5,0.3,4,Unknown vegetation,5,default unknown,
Guenther2019b,18435,5,0.3,4,Gymnosperm tree,5,default gymnosperm,
Guenther2019b,12887,5,0.3,4,Dicot tree,5,default dicot,
Guenther2019b,42247,6,0.3,4,Unknown shrubs,6,default shrub,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,10079,6,0.3,4,Cool C3 Grass,6,default grass,
Guenther2019b,42336,6,0.3,4,Other Crops,6,default crop,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,18435,6,0.5,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,25816,6,0.5,4,Monocot tree,6,default monocot,
Guenther2019b,12887,6,0.5,4,Dicot tree,6,default dicot,
Guenther2019b,39869,6,0.5,4,Unknown vegetation,6,default unknown,
Guenther2019b,27341,6,0.5,4,Other Division vegetation,6,default other,
Guenther2019b,16757,6,0.5,4,Fern,6,default fern,
Guenther2019b,16757,6,0.3,4,Fern,6,default fern,
Guenther2019b,12887,6,0.3,4,Dicot tree,6,default dicot,
Guenther2019b,18435,6,0.3,4,Gymnosperm tree,6,default gymnosperm,
Guenther2019b,25816,6,0.3,4,Monocot tree,6,default monocot,
Guenther2019b,39869,6,0.3,4,Unknown vegetation,6,default unknown,
Guenther2019b,27341,6,0.3,4,Other Division vegetation,6,default other,
Guenther2019b,18435,7,0.1,4,Gymnosperm tree,7,default gymnosperm,
