EcoTypeID,VegID,HerbSpecFrac
3601,GFHerb,1
3602,GFHerb,1
3603,GFHerb,1
3604,GFHerb,1
3605,GFHerb,1
3606,GFHerb,1
3607,GFHerb,1
3608,GFHerb,1
3609,GFHerb,1
3610,GFHerb,1
3611,GFHerb,1
3612,GFHerb,1
3631,GFHerb,1
3633,GFHerb,1
3634,GFHerb,1
3635,GFHerb,1
3636,GFHerb,1
3638,GFHerb,1
3639,GFHerb,1
3640,GFHerb,1
3641,GFHerb,1
3642,GFHerb,1
3643,GFHerb,1
3644,GFHerb,1
3645,GFHerb,1
3646,GFHerb,1
3648,GFHerb,1
3649,GFHerb,1
3650,GFHerb,1
3651,GFHerb,1
3652,GFHerb,1
3653,GFHerb,1
3654,GFHerb,1
3671,GFHerb,1
3672,GFHerb,1
3674,GFHerb,1
3675,GFHerb,1
3677,GFHerb,1
3678,GFHerb,1
3679,GFHerb,1
3680,GFHerb,1
3682,GFHerb,1
3683,GFHerb,1
3684,GFHerb,1
3685,GFHerb,1
3686,GFHerb,1
3687,GFHerb,1
3688,GFHerb,1
3689,GFHerb,1
3690,GFHerb,1
3691,GFHerb,1
3692,GFHerb,1
3699,GFHerb,1
3709,GFHerb,1
3718,GFHerb,1
3719,GFHerb,1
3720,GFHerb,1
3725,GFHerb,1
3730,GFHerb,1
3731,GFHerb,1
3736,GFHerb,1
3737,GFHerb,1
3738,GFHerb,1
3739,GFHerb,1
3740,GFHerb,1
3741,GFHerb,1
3742,GFHerb,1
3743,GFHerb,1
3744,GFHerb,1
3745,GFHerb,1
3746,GFHerb,1
3747,GFHerb,1
3748,GFHerb,1
3749,GFHerb,1
3750,GFHerb,1
3751,GFHerb,1
3752,GFHerb,1
3753,GFHerb,1
3754,GFHerb,1
3755,GFHerb,1
3756,GFHerb,1
3757,GFHerb,1
3758,GFHerb,1
3759,GFHerb,1
3760,GFHerb,1
3761,GFHerb,1
3762,GFHerb,1
3763,GFHerb,1
3764,GFHerb,1
3765,GFHerb,1
3766,GFHerb,1
3767,GFHerb,1
3768,GFHerb,1
3769,GFHerb,1
3770,GFHerb,1
3771,GFHerb,1
3772,GFHerb,1
3773,GFHerb,1
3774,GFHerb,1
3775,GFHerb,1
3776,GFHerb,1
3777,GFHerb,1
3778,GFHerb,1
3779,GFHerb,1
3780,GFHerb,1
3781,GFHerb,1
3782,GFHerb,1
3783,GFHerb,1
3784,GFHerb,1
3785,GFHerb,1
3786,GFHerb,1
3787,GFHerb,1
3788,GFHerb,1
3789,GFHerb,1
3790,GFHerb,1
3791,GFHerb,1
3792,GFHerb,1
3793,GFHerb,1
3794,GFHerb,1
3795,GFHerb,1
3796,GFHerb,1
3797,GFHerb,1
3798,GFHerb,1
3799,GFHerb,1
3800,GFHerb,1
3801,GFHerb,1
3802,GFHerb,1
3803,GFHerb,1
3804,GFHerb,1
3805,GFHerb,1
3806,GFHerb,1
3807,GFHerb,1
3808,GFHerb,1
3809,GFHerb,1
3810,GFHerb,1
3811,GFHerb,1
3812,GFHerb,1
3813,GFHerb,1
3814,GFHerb,1
3815,GFHerb,1
3816,GFHerb,1
3817,GFHerb,1
3818,GFHerb,1
3819,GFHerb,1
3820,GFHerb,1
3821,GFHerb,1
3822,GFHerb,1
3823,GFHerb,1
3824,GFHerb,1
3825,GFHerb,1
3826,GFHerb,1
3827,GFHerb,1
3828,GFHerb,1
3830,GFHerb,1
3832,GFHerb,1
3833,GFHerb,1
3834,GFHerb,1
3835,GFHerb,1
3836,GFHerb,1
3837,GFHerb,1
3838,GFHerb,1
3839,GFHerb,1
3840,GFHerb,1
3841,GFHerb,1
3842,GFHerb,1
3843,GFHerb,1
3845,GFHerb,1
3846,GFHerb,1
3847,GFHerb,1
3848,GFHerb,1
3849,GFHerb,1
3850,GFHerb,1
3852,GFHerb,1
3853,GFHerb,1
3854,GFHerb,1
3855,GFHerb,1
3856,GFHerb,1
3857,GFHerb,1
3858,GFHerb,1
3859,GFHerb,1
3860,GFHerb,1
3861,GFHerb,1
3862,GFHerb,1
3863,GFHerb,1
3864,GFHerb,1
